,antecedents,consequents,antecedent support,consequent support,support,confidence,lift
35,"frozenset({'yogurt', 'other vegetables'})","frozenset({'rolls/buns', 'whole milk'})",0.12031811185223192,0.17855310415597742,0.03437660338635198,0.2857142857142857,1.6001642036124795
36,"frozenset({'other vegetables', 'whole milk'})","frozenset({'yogurt', 'sausage'})",0.1913801949717804,0.07542329399692149,0.023088763468445357,0.12064343163538874,1.59955134868961
37,"frozenset({'yogurt', 'sausage'})","frozenset({'other vegetables', 'whole milk'})",0.07542329399692149,0.1913801949717804,0.023088763468445357,0.30612244897959184,1.5995513486896098
38,"frozenset({'whole milk', 'other vegetables'})","frozenset({'rolls/buns', 'shopping bags'})",0.1913801949717804,0.06875320677270395,0.02103642893791688,0.1099195710455764,1.5987555519987193
39,"frozenset({'rolls/buns', 'shopping bags'})","frozenset({'whole milk', 'other vegetables'})",0.06875320677270395,0.1913801949717804,0.02103642893791688,0.3059701492537313,1.598755551998719
40,"frozenset({'pip fruit', 'whole milk'})",frozenset({'pastry'}),0.08696767573114418,0.1775269368907132,0.024628014366341714,0.2831858407079646,1.5951711084965983
41,frozenset({'pastry'}),"frozenset({'pip fruit', 'whole milk'})",0.1775269368907132,0.08696767573114418,0.024628014366341714,0.13872832369942195,1.595171108496598
42,"frozenset({'pastry', 'whole milk'})",frozenset({'pip fruit'}),0.09107234479220112,0.17060030785017957,0.024628014366341714,0.27042253521126763,1.5851233718098063
43,frozenset({'pip fruit'}),"frozenset({'pastry', 'whole milk'})",0.17060030785017957,0.09107234479220112,0.024628014366341714,0.1443609022556391,1.5851233718098063
44,"frozenset({'other vegetables', 'soda'})","frozenset({'whole milk', 'bottled water'})",0.1241662390969728,0.11236531554643407,0.022062596203181118,0.17768595041322313,1.581323823540511
45,"frozenset({'whole milk', 'bottled water'})","frozenset({'other vegetables', 'soda'})",0.11236531554643407,0.1241662390969728,0.022062596203181118,0.1963470319634703,1.581323823540511
46,"frozenset({'rolls/buns', 'whole milk'})","frozenset({'sausage', 'other vegetables'})",0.17855310415597742,0.09286813750641354,0.02616726526423807,0.14655172413793105,1.5780624880929703
47,"frozenset({'sausage', 'other vegetables'})","frozenset({'rolls/buns', 'whole milk'})",0.09286813750641354,0.17855310415597742,0.02616726526423807,0.281767955801105,1.5780624880929701
48,frozenset({'newspapers'}),"frozenset({'rolls/buns', 'root vegetables'})",0.13981528989225245,0.09081580297588507,0.020010261672652643,0.14311926605504588,1.5759290934535843
49,"frozenset({'rolls/buns', 'root vegetables'})",frozenset({'newspapers'}),0.09081580297588507,0.13981528989225245,0.020010261672652643,0.22033898305084748,1.5759290934535843
50,"frozenset({'rolls/buns', 'other vegetables'})","frozenset({'whole milk', 'shopping bags'})",0.14674191893278604,0.09132888660851719,0.02103642893791688,0.14335664335664336,1.5696747073151567
51,"frozenset({'whole milk', 'shopping bags'})","frozenset({'rolls/buns', 'other vegetables'})",0.09132888660851719,0.14674191893278604,0.02103642893791688,0.23033707865168537,1.5696747073151567
52,frozenset({'white bread'}),frozenset({'whipped/sour cream'}),0.0887634684453566,0.15469471523858389,0.021549512570549,0.24277456647398843,1.569378540821902
53,frozenset({'whipped/sour cream'}),frozenset({'white bread'}),0.15469471523858389,0.0887634684453566,0.021549512570549,0.13930348258706468,1.569378540821902
54,"frozenset({'rolls/buns', 'whole milk', 'soda'})",frozenset({'sausage'}),0.06516162134427912,0.2060030785017958,0.02103642893791688,0.3228346456692913,1.5671350545689882
55,frozenset({'sausage'}),"frozenset({'rolls/buns', 'whole milk', 'soda'})",0.2060030785017958,0.06516162134427912,0.02103642893791688,0.1021170610211706,1.5671350545689882
56,frozenset({'bottled water'}),"frozenset({'brown bread', 'whole milk'})",0.21369933299127758,0.06977937403796819,0.023345305284761416,0.1092436974789916,1.5655585763717252
57,"frozenset({'brown bread', 'whole milk'})",frozenset({'bottled water'}),0.06977937403796819,0.21369933299127758,0.023345305284761416,0.33455882352941174,1.565558576371725
58,"frozenset({'other vegetables', 'whole milk'})","frozenset({'rolls/buns', 'pastry'})",0.1913801949717804,0.06952283222165213,0.02077988712160082,0.10857908847184986,1.5617759662851318
59,"frozenset({'rolls/buns', 'pastry'})","frozenset({'other vegetables', 'whole milk'})",0.06952283222165213,0.1913801949717804,0.02077988712160082,0.29889298892988925,1.5617759662851316
60,"frozenset({'other vegetables', 'bottled water'})","frozenset({'yogurt', 'whole milk'})",0.09389430477167779,0.15059004617752694,0.022062596203181118,0.2349726775956284,1.5603466733692666
61,"frozenset({'yogurt', 'whole milk'})","frozenset({'other vegetables', 'bottled water'})",0.15059004617752694,0.09389430477167779,0.022062596203181118,0.1465076660988075,1.5603466733692666
62,"frozenset({'yogurt', 'other vegetables', 'whole milk'})",frozenset({'sausage'}),0.07183170856849666,0.2060030785017958,0.023088763468445357,0.32142857142857145,1.5603095534602385
63,frozenset({'sausage'}),"frozenset({'yogurt', 'other vegetables', 'whole milk'})",0.2060030785017958,0.07183170856849666,0.023088763468445357,0.112079701120797,1.5603095534602383
64,"frozenset({'whole milk', 'other vegetables', 'root vegetables'})",frozenset({'yogurt'}),0.045407901487942534,0.28296562339661363,0.020010261672652643,0.44067796610169496,1.557355133149961
65,frozenset({'yogurt'}),"frozenset({'whole milk', 'other vegetables', 'root vegetables'})",0.28296562339661363,0.045407901487942534,0.020010261672652643,0.07071622846781506,1.5573551331499609
66,"frozenset({'yogurt', 'whole milk'})","frozenset({'rolls/buns', 'other vegetables'})",0.15059004617752694,0.14674191893278604,0.03437660338635198,0.2282793867120954,1.5556521842722866
67,"frozenset({'rolls/buns', 'other vegetables'})","frozenset({'yogurt', 'whole milk'})",0.14674191893278604,0.15059004617752694,0.03437660338635198,0.23426573426573427,1.5556521842722864
