,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
12,"frozenset({'rolls/buns', 'yogurt', 'whole milk'})",frozenset({'sausage'}),0.0659312467932273,0.2060030785017958,0.022832221652129298,0.3463035019455253,1.6810598388339446,0.009250181843262822,1.2146262430061814,0.43373378717416183
13,frozenset({'sausage'}),"frozenset({'rolls/buns', 'yogurt', 'whole milk'})",0.2060030785017958,0.0659312467932273,0.022832221652129298,0.11083437110834371,1.6810598388339446,0.009250181843262822,1.0505002924720428,0.510250313118295
14,"frozenset({'rolls/buns', 'other vegetables'})","frozenset({'whole milk', 'sausage'})",0.14674191893278604,0.10697793740379682,0.02616726526423807,0.17832167832167833,1.6669014438798613,0.010469117446133457,1.0868268506489962,0.46889038237062713
15,"frozenset({'whole milk', 'sausage'})","frozenset({'rolls/buns', 'other vegetables'})",0.10697793740379682,0.14674191893278604,0.02616726526423807,0.24460431654676257,1.666901443879861,0.010469117446133457,1.1295511739842166,0.4480118965138482
16,"frozenset({'rolls/buns', 'sausage'})","frozenset({'whole milk', 'other vegetables'})",0.0823499230374551,0.1913801949717804,0.02616726526423807,0.31775700934579443,1.660344265991832,0.010407120937418801,1.1852372484660205,0.43340623920801197
17,"frozenset({'whole milk', 'other vegetables'})","frozenset({'rolls/buns', 'sausage'})",0.1913801949717804,0.0823499230374551,0.02616726526423807,0.13672922252010725,1.660344265991832,0.010407120937418801,1.0629921698976064,0.4918445804717826
18,"frozenset({'rolls/buns', 'whole milk', 'sausage'})",frozenset({'yogurt'}),0.04874294510005131,0.28296562339661363,0.022832221652129298,0.46842105263157896,1.6553991506417904,0.009039643805706366,1.3488765500459745,0.41620304716192147
19,frozenset({'yogurt'}),"frozenset({'rolls/buns', 'whole milk', 'sausage'})",0.28296562339661363,0.04874294510005131,0.022832221652129298,0.08068902991840436,1.6553991506417904,0.009039643805706366,1.0347500311189777,0.5521577455729534
20,"frozenset({'yogurt', 'whole milk'})","frozenset({'other vegetables', 'sausage'})",0.15059004617752694,0.09286813750641354,0.023088763468445357,0.15332197614991483,1.6509642625203538,0.009103746352933621,1.071401213850574,0.4641967851270178
21,"frozenset({'other vegetables', 'sausage'})","frozenset({'yogurt', 'whole milk'})",0.09286813750641354,0.15059004617752694,0.023088763468445357,0.24861878453038677,1.6509642625203536,0.009103746352933621,1.130464717954909,0.43465937657114134
22,"frozenset({'rolls/buns', 'soda'})","frozenset({'whole milk', 'sausage'})",0.11980502821959979,0.10697793740379682,0.02103642893791688,0.17558886509635974,1.6413558660566192,0.00821993412838042,1.08322416424007,0.44393300680310793
23,"frozenset({'whole milk', 'sausage'})","frozenset({'rolls/buns', 'soda'})",0.10697793740379682,0.11980502821959979,0.02103642893791688,0.19664268585131892,1.6413558660566192,0.00821993412838042,1.0956456812908264,0.43755649133624336
24,"frozenset({'whole milk', 'bottled water'})","frozenset({'yogurt', 'other vegetables'})",0.11236531554643407,0.12031811185223192,0.022062596203181118,0.1963470319634703,1.631899212353107,0.00854301359895393,1.094604167638416,0.4362347089662589
